dq_number,reported,original_location,map_address,query,desired_type,decision,candidate_count,latitude,longitude,official_location,district,inside_boundary,location_precision,result_type,result_status,geosupport_return_code,source_note
DQ2026195054,2026-07-14,Thomson Avenue/Van Dam Street/ Crosswalk,"THOMSON AVENUE & VAN DAM STREET (CROSSWALK), QUEENS, NY",THOMSON AVENUE & VAN DAM STREET  QUEENS,intersection-or-address,accepted,1,40.744734,-73.93359,THOMSON AVENUE & VAN DAM STREET,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Direct intersection
DQ2026201026,2026-07-14,Thomson Av/ 30th PL,"THOMSON AVENUE & 30TH PLACE, QUEENS, NY",THOMSON AVENUE & 30 PLACE QUEENS,intersection-or-address,accepted,1,40.74507,-73.93635,30 PLACE & THOMSON AVENUE,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Direct intersection
DQ2026201029,2026-07-14,Thomson Av/ 30th Street,"THOMSON AVENUE & 30TH STREET, QUEENS, NY",THOMSON AVENUE & 30 STREET QUEENS,intersection-or-address,accepted,1,40.745177,-73.937259,30 STREET & THOMSON AVENUE,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Direct intersection
DQ2026201031,2026-07-14,Thomson Avenue/44th Drive,"THOMSON AVENUE & 44TH DRIVE, QUEENS, NY",THOMSON AVENUE & 44 DRIVE QUEENS,intersection-or-address,accepted,1,40.746135,-73.941708,44 DRIVE & THOMSON AVENUE,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Direct intersection
DQ2026201042,2026-07-14,Queens Blvd/ 64th St,"QUEENS BOULEVARD & 64TH STREET, QUEENS, NY",QUEENS BOULEVARD & 64 STREET QUEENS,intersection-or-address,accepted,1,40.741131,-73.90158,64 STREET & QUEENS BOULEVARD,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Direct intersection
DQ2026201043,2026-07-14,Queens Blvd/ 65th St,"QUEENS BOULEVARD & 65TH STREET, QUEENS, NY",QUEENS BOULEVARD & 65 STREET QUEENS,intersection-or-address,accepted,1,40.74101,-73.90057,65 STREET & QUEENS BOULEVARD,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Direct intersection
DQ2026201049,2026-07-14,Queens Blvd/ 45th Ave,"QUEENS BOULEVARD & 45TH AVENUE, QUEENS, NY",QUEENS BOULEVARD & 45 AVENUE QUEENS,intersection-or-address,accepted,1,40.740165,-73.895242,45 AVENUE & QUEENS BOULEVARD,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Direct intersection
DQ2026202033,2026-07-14,ROOSEVELT AVENUE/53 STREET,"ROOSEVELT AVENUE & 53RD STREET, QUEENS, NY",ROOSEVELT AVENUE & 53 STREET QUEENS,intersection-or-address,accepted,1,40.744472,-73.911507,53 STREET & ROOSEVELT AVENUE,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Direct intersection
DQ2026202035,2026-07-14,intersection of Greenpoint and Star Ave,"GREENPOINT AVENUE & STARR AVENUE, QUEENS, NY",GREENPOINT AVENUE & STARR AVENUE QUEENS,intersection-or-address,accepted,1,40.734994,-73.936284,GREENPOINT AVENUE & STARR AVENUE,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Direct intersection
DQ2026202036,2026-07-14,GREENPOINT AVENUE/BRADLEY AVENUE,"GREENPOINT AVENUE & BRADLEY AVENUE, QUEENS, NY",GREENPOINT AVENUE & BRADLEY AVENUE QUEENS,intersection-or-address,accepted,1,40.735553,-73.934779,BRADLEY AVENUE & GREENPOINT AVENUE,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Direct intersection
DQ2026202038,2026-07-14,Intersection of greenpoint ave and 39th pl,"GREENPOINT AVENUE & 39TH PLACE, QUEENS, NY",GREENPOINT AVENUE & 39 PLACE QUEENS,intersection-or-address,accepted,1,40.739064,-73.926158,39 PLACE & GREENPOINT AVENUE,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Direct intersection
DQ2026202041,2026-07-14,Intersection of Roosevelt ave and 50th street,"ROOSEVELT AVENUE & 50TH STREET, QUEENS, NY",ROOSEVELT AVENUE & 50 STREET QUEENS,intersection-or-address,accepted,1,40.743456,-73.914836,50 STREET & ROOSEVELT AVENUE,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Direct intersection
DQ2026202046,2026-07-14,ROOSEVELT AVENUE/61 STREET,"ROOSEVELT AVENUE & 61ST STREET, QUEENS, NY",ROOSEVELT AVENUE & 61 STREET QUEENS,intersection-or-address,accepted,1,40.745596,-73.903389,61 STREET & ROOSEVELT AVENUE,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Direct intersection
DQ2026202047,2026-07-14,ROOSEVELT AVENUE/65 STREET,"ROOSEVELT AVENUE & 65TH STREET, QUEENS, NY",ROOSEVELT AVENUE & 65 STREET QUEENS,intersection-or-address,accepted,1,40.746048,-73.899029,65 STREET & ROOSEVELT AVENUE,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Direct intersection
DQ2026202048,2026-07-14,ROOSEVELT AVENUE/SKILLMAN AVENUE,"ROOSEVELT AVENUE & SKILLMAN AVENUE, QUEENS, NY",ROOSEVELT AVENUE & SKILLMAN AVENUE QUEENS,intersection-or-address,accepted,1,40.745153,-73.908406,ROOSEVELT AVENUE & SKILLMAN AVENUE,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Direct intersection
DQ2026203038,2026-07-14,Thomson Avenue/44th Drive,"THOMSON AVENUE & 44TH DRIVE, QUEENS, NY",THOMSON AVENUE & 44 DRIVE QUEENS,intersection-or-address,accepted,1,40.746135,-73.941708,44 DRIVE & THOMSON AVENUE,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Direct intersection
DQ2026203041,2026-07-14,Thomson Avenue/44th Drive,"THOMSON AVENUE & 44TH DRIVE, QUEENS, NY",THOMSON AVENUE & 44 DRIVE QUEENS,intersection-or-address,accepted,1,40.746135,-73.941708,44 DRIVE & THOMSON AVENUE,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Direct intersection
DQ2026201068,2026-07-15,Jackson Avenue/47th Road,"JACKSON AVENUE & 47TH ROAD, QUEENS, NY",JACKSON AVENUE & 47 ROAD QUEENS,intersection-or-address,accepted,1,40.744083,-73.949678,47 ROAD & JACKSON AVENUE,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Direct intersection
DQ2026201069,2026-07-15,Jackson Avenue/45th Avenue,"JACKSON AVENUE & 45TH AVENUE, QUEENS, NY",JACKSON AVENUE & 45 AVENUE QUEENS,intersection-or-address,accepted,1,40.7466,-73.943714,45 AVENUE & JACKSON AVENUE,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Direct intersection
DQ2026201072,2026-07-15,Jackson Avenue/ Court Square,"JACKSON AVENUE & COURT SQUARE, QUEENS, NY",JACKSON AVENUE & COURT SQUARE QUEENS,intersection-or-address,accepted,1,40.746479,-73.944018,COURT SQUARE & JACKSON AVENUE,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Direct intersection
DQ2026201073,2026-07-15,Jackson Avenue/44th Drive,"JACKSON AVENUE & 44TH DRIVE, QUEENS, NY",JACKSON AVENUE & 44 DRIVE QUEENS,intersection-or-address,accepted,1,40.747121,-73.942382,44 DRIVE & JACKSON AVENUE,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Direct intersection
DQ2026202026,2026-07-15,Jackson Avenue/ Davis Street,"JACKSON AVENUE & DAVIS STREET, QUEENS, NY",JACKSON AVENUE & DAVIS STREET QUEENS,intersection-or-address,accepted,1,40.745819,-73.945649,DAVIS STREET & JACKSON AVENUE,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Direct intersection
DQ2026202027,2026-07-15,Jackson Avenue/ Court Square,"JACKSON AVENUE & COURT SQUARE, QUEENS, NY",JACKSON AVENUE & COURT SQUARE QUEENS,intersection-or-address,accepted,1,40.746479,-73.944018,COURT SQUARE & JACKSON AVENUE,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Direct intersection
DQ2026202031,2026-07-15,Jackson Avenue/ Court Square,"JACKSON AVENUE & COURT SQUARE, QUEENS, NY",JACKSON AVENUE & COURT SQUARE QUEENS,intersection-or-address,accepted,1,40.746479,-73.944018,COURT SQUARE & JACKSON AVENUE,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Direct intersection
DQ2026202045,2026-07-15,Jackson Avenue/ 49th avenue,"JACKSON AVENUE & 49TH AVENUE, QUEENS, NY",JACKSON AVENUE & 49 AVENUE QUEENS,intersection-or-address,accepted,1,40.743016,-73.951801,49 AVENUE & JACKSON AVENUE,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Direct intersection
DQ2026202052,2026-07-15,Jackson Avenue/ Queens Street,"JACKSON AVENUE & QUEENS STREET, QUEENS, NY",JACKSON AVENUE & QUEENS STREET QUEENS,intersection-or-address,accepted,1,40.748066,-73.939736,JACKSON AVENUE & QUEENS STREET,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Direct intersection
DQ2026202072,2026-07-15,21st Street/36th Ave,"21ST STREET & 36TH AVENUE, QUEENS, NY",21 STREET & 36 AVENUE QUEENS,intersection-or-address,accepted,1,40.759884,-73.936791,21 STREET & 36 AVENUE,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Direct intersection
DQ2026202073,2026-07-15,21st Street/37th Ave,"21ST STREET & 37TH AVENUE, QUEENS, NY",21 STREET & 37 AVENUE QUEENS,intersection-or-address,accepted,1,40.758707,-73.937918,21 STREET & 37 AVENUE,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Direct intersection
DQ2026202076,2026-07-15,21st Street/41st Ave,"21ST STREET & 41ST AVENUE, QUEENS, NY",21 STREET & 41 AVENUE QUEENS,intersection-or-address,accepted,1,40.753996,-73.94243,21 STREET & 41 AVENUE,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Direct intersection
DQ2026202078,2026-07-15,21st Street/Queens Plaza S,"21ST STREET & QUEENS PLAZA SOUTH, QUEENS, NY",21 STREET & QUEENS PLAZA SOUTH QUEENS,intersection-or-address,accepted,2,40.752098,-73.944244,21 STREET & QUEENS PLAZA SOUTH,26,True,official-intersection-node,intersection,POSSIBLE_MATCH,00,Direct intersection
DQ2026202080,2026-07-15,21st Street/44th Ave,"21ST STREET & 44TH AVENUE, QUEENS, NY",21 STREET & 44 AVENUE QUEENS,intersection-or-address,accepted,1,40.749502,-73.946664,21 STREET & 44 AVENUE,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Direct intersection
DQ2026202082,2026-07-15,21st Street/44th Rd,"21ST STREET & 44TH ROAD, QUEENS, NY",21 STREET & 44 ROAD QUEENS,intersection-or-address,accepted,1,40.748852,-73.947109,21 STREET & 44 ROAD,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Direct intersection
DQ2026202083,2026-07-15,21st Street/49th Ave,"21ST STREET & 49TH AVENUE, QUEENS, NY",21 STREET & 49 AVENUE QUEENS,intersection-or-address,accepted,1,40.742524,-73.949232,21 STREET & 49 AVENUE,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Direct intersection
DQ2026203050,2026-07-15,Jackson Avenue/Purves Street,"JACKSON AVENUE & PURVES STREET, QUEENS, NY",JACKSON AVENUE & PURVES STREET QUEENS,intersection-or-address,accepted,1,40.74745,-73.941454,JACKSON AVENUE & PURVES STREET,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Direct intersection
DQ2026203051,2026-07-15,Jackson Avenue/ Queens Stret,"JACKSON AVENUE & QUEENS STREET, QUEENS, NY",JACKSON AVENUE & QUEENS STREET QUEENS,intersection-or-address,accepted,1,40.748066,-73.939736,JACKSON AVENUE & QUEENS STREET,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Direct intersection
DQ2026202037,2026-07-20,43rd ave 40th st,"43RD AVENUE & 40TH STREET, QUEENS, NY",43 AVENUE & 40 STREET QUEENS,intersection-or-address,accepted,1,40.745545,-73.923917,40 STREET & 43 AVENUE,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Intersection inferred from two street names
DQ2026202039,2026-07-20,43rd ave 39th place,"43RD AVENUE & 39TH PLACE, QUEENS, NY",43 AVENUE & 39 PLACE QUEENS,intersection-or-address,accepted,1,40.745653,-73.924844,39 PLACE & 43 AVENUE,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Intersection inferred from two street names
DQ2026203039,2026-07-20,43rd ave 44th street,"43RD AVENUE & 44TH STREET, QUEENS, NY",43 AVENUE & 44 STREET QUEENS,intersection-or-address,accepted,1,40.745115,-73.920204,43 AVENUE & 44 STREET,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Intersection inferred from two street names
DQ2026204038,2026-07-20,42nd street and northern,"42ND STREET & NORTHERN BOULEVARD, QUEENS, NY",42 STREET & NORTHERN BOULEVARD QUEENS,intersection-or-address,accepted,1,40.753029,-73.92162,42 STREET & NORTHERN BOULEVARD,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Direct intersection
DQ2026204040,2026-07-20,42nd street and northern,"42ND STREET & NORTHERN BOULEVARD, QUEENS, NY",42 STREET & NORTHERN BOULEVARD QUEENS,intersection-or-address,accepted,1,40.753029,-73.92162,42 STREET & NORTHERN BOULEVARD,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Direct intersection
DQ2026204047,2026-07-20,Northern Boulevard and 50th street,"NORTHERN BOULEVARD & 50TH STREET, QUEENS, NY",NORTHERN BOULEVARD & 50 STREET QUEENS,intersection-or-address,accepted,1,40.753305,-73.912571,50 STREET & NORTHERN BOULEVARD,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Direct intersection
DQ2026204048,2026-07-20,Northern boulevard and 51st street,"NORTHERN BOULEVARD & 51ST STREET, QUEENS, NY",NORTHERN BOULEVARD & 51 STREET QUEENS,intersection-or-address,accepted,1,40.752977,-73.910233,51 STREET & NORTHERN BOULEVARD,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Direct intersection
DQ2026204067,2026-07-23,43rd road 10th street,"43RD ROAD & 10TH STREET, QUEENS, NY",43 ROAD & 10 STREET QUEENS,intersection-or-address,accepted,1,40.751455,-73.949467,10 STREET & 43 ROAD,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Intersection inferred from two street names
DQ2026205028,2026-07-24,39-08 52nd St,"39-08 52ND STREET, QUEENS, NY",39-08 52 STREET QUEENS,intersection-or-address,accepted,1,40.748482,-73.911758,39-08 52 STREET,26,True,official-address-point,address,EXACT_MATCH,00,Street address
DQ2026205032,2026-07-24,58-09 39th Ave,"58-09 39TH AVENUE, QUEENS, NY",58-09 39 AVENUE QUEENS,intersection-or-address,accepted,1,40.747807,-73.904985,58-09 39 AVENUE,26,True,official-address-point,address,EXACT_MATCH,00,Street address
DQ2026205033,2026-07-24,42-21 68th St,"42-21 68TH STREET, QUEENS, NY",42-21 68 STREET QUEENS,intersection-or-address,accepted,1,40.74237,-73.89648,42-21 68 STREET,26,True,official-address-point,address,EXACT_MATCH,00,Street address
DQ2026205036,2026-07-24,61-10 Queens Blvd,"61-10 QUEENS BOULEVARD, QUEENS, NY",61-10 QUEENS BOULEVARD QUEENS,intersection-or-address,accepted,1,40.741347,-73.903226,61-10 QUEENS BOULEVARD,26,True,official-address-point,address,EXACT_MATCH,00,Street address
DQ2026205037,2026-07-24,61-16 Queens Blvd,"61-16 QUEENS BOULEVARD, QUEENS, NY",61-16 QUEENS BOULEVARD QUEENS,intersection-or-address,accepted,1,40.741333,-73.903107,61-16 QUEENS BOULEVARD,26,True,official-address-point,address,EXACT_MATCH,00,Street address
DQ2026205040,2026-07-24,58-25 Laurel Hl Blvd,"58-25 LAUREL HILL BOULEVARD, QUEENS, NY",58-25 LAUREL HILL BOULEVARD QUEENS,intersection-or-address,accepted,1,40.736655,-73.90844,58-25 LAUREL HILL BOULEVARD,26,True,official-address-point,address,EXACT_MATCH,00,Street address
DQ2026205042,2026-07-24,46-01 58th St,"46-01 58TH STREET, QUEENS, NY",46-01 58 STREET QUEENS,intersection-or-address,accepted,1,40.741526,-73.907578,46-01 58 STREET,26,True,official-address-point,address,EXACT_MATCH,00,Street address
DQ2026205044,2026-07-24,53-98 Queens Blvd,"53-98 QUEENS BOULEVARD, QUEENS, NY",53-98 QUEENS BOULEVARD QUEENS,intersection-or-address,accepted,1,40.742273,-73.911088,53-98 QUEENS BOULEVARD,26,True,official-address-point,address,EXACT_MATCH,00,Street address
DQ2026205047,2026-07-24,Queens Blvd & 52nd St,"QUEENS BOULEVARD & 52ND STREET, QUEENS, NY",QUEENS BOULEVARD & 52 STREET QUEENS,intersection-or-address,accepted,1,40.742483,-73.912892,52 STREET & QUEENS BOULEVARD,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Direct intersection
DQ2026205048,2026-07-24,50-24 Queens Blvd,"50-24 QUEENS BOULEVARD, QUEENS, NY",50-24 QUEENS BOULEVARD QUEENS,intersection-or-address,accepted,1,40.742615,-73.913989,50-24 QUEENS BOULEVARD,26,True,official-address-point,address,EXACT_MATCH,00,Street address
DQ2026205049,2026-07-24,51-82 48th St,"51-82 48TH STREET, QUEENS, NY",51-82 48 STREET QUEENS,intersection-or-address,accepted,1,40.732886,-73.918873,51-82 48 STREET,26,True,official-address-point,address,EXACT_MATCH,00,Street address
DQ2026205050,2026-07-24,53-02 46th St,"53-02 46TH STREET, QUEENS, NY",53-02 46 STREET QUEENS,intersection-or-address,accepted,1,40.732237,-73.921579,53-02 46 STREET,26,True,official-address-point,address,EXACT_MATCH,00,Street address
DQ2026205051,2026-07-24,"54-12 48th St, Maspeth, NY 11378","54-12 48TH STREET, QUEENS, NY 11378",54-12 48 STREET QUEENS,intersection-or-address,accepted,1,40.73077,-73.919182,54-12 48 STREET,26,True,official-address-point,address,EXACT_MATCH,00,Full street address
DQ2026205052,2026-07-24,48-16 54th Ave,"48-16 54TH AVENUE, QUEENS, NY",48-16 54 AVENUE QUEENS,intersection-or-address,accepted,1,40.730783,-73.918594,48-16 54 AVENUE,26,True,official-address-point,address,EXACT_MATCH,00,Street address
DQ2026205053,2026-07-24,54-20 50th St,"54-20 50TH STREET, QUEENS, NY",54-20 50 STREET QUEENS,intersection-or-address,accepted,1,40.729559,-73.917794,54-20 50 STREET,26,True,official-address-point,address,EXACT_MATCH,00,Street address
DQ2026205055,2026-07-24,41-13 50th St,"41-13 50TH STREET, QUEENS, NY",41-13 50 STREET QUEENS,intersection-or-address,accepted,1,40.745876,-73.914346,41-13 50 STREET,26,True,official-address-point,address,EXACT_MATCH,00,Street address
DQ2026205056,2026-07-24,54-65 48th St,"54-65 48TH STREET, QUEENS, NY",54-65 48 STREET QUEENS,intersection-or-address,accepted,1,40.729502,-73.91927,54-65 48 STREET,26,True,official-address-point,address,EXACT_MATCH,00,Street address
DQ2026205058,2026-07-24,56th Rd & 48th St,"56TH ROAD & 48TH STREET, QUEENS, NY",56 ROAD & 48 STREET QUEENS,intersection-or-address,accepted,1,40.726215,-73.920515,48 STREET & 56 ROAD,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Direct intersection
DQ2026205059,2026-07-24,"44-11 56th Rd, Maspeth, NY 11378","44-11 56TH ROAD, QUEENS, NY 11378",44-11 56 ROAD QUEENS,intersection-or-address,accepted,1,40.727398,-73.924468,44-11 56 ROAD,26,True,official-address-point,address,EXACT_MATCH,00,Full street address
DQ2026205062,2026-07-24,55-51 43rd St,"55-51 43RD STREET, QUEENS, NY",55-51 43 STREET QUEENS,intersection-or-address,accepted,1,40.729098,-73.925985,55-51 43 STREET,26,True,official-address-point,address,EXACT_MATCH,00,Street address
DQ2026205067,2026-07-24,"43-40 57th Ave, Maspeth, NY 11378","43-40 57TH AVENUE, QUEENS, NY 11378",43-40 57 AVENUE QUEENS,intersection-or-address,accepted,1,40.727635,-73.926109,43-40 57 AVENUE,26,True,official-address-point,address,EXACT_MATCH,00,Full street address
DQ2026208015,2026-07-24,"54-30 48th St, Maspeth, NY 11378","54-30 48TH STREET, QUEENS, NY 11378",54-30 48 STREET QUEENS,intersection-or-address,accepted,1,40.729988,-73.919111,54-30 48 STREET,26,True,official-address-point,address,EXACT_MATCH,00,Full street address
DQ2026208016,2026-07-24,"41-08 50th Ave, Long Island City, NY 11104","41-08 50TH AVENUE, QUEENS, NY 11104",41-08 50 AVENUE QUEENS,intersection-or-address,accepted,1,40.73797,-73.924279,41-08 50 AVENUE,26,True,official-address-point,address,EXACT_MATCH,00,Full street address
DQ2026208017,2026-07-24,"39-18 50th Ave, Long Island City, NY 11104","39-18 50TH AVENUE, QUEENS, NY 11104",39-18 50 AVENUE QUEENS,intersection-or-address,accepted,1,40.738252,-73.926715,39-18 50 AVENUE,26,True,official-address-point,address,EXACT_MATCH,00,Full street address
DQ2026208020,2026-07-24,Queens Blvd & 44th St,"QUEENS BOULEVARD & 44TH STREET, QUEENS, NY",QUEENS BOULEVARD & 44 STREET QUEENS,intersection-or-address,accepted,1,40.743375,-73.920556,44 STREET & QUEENS BOULEVARD,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Direct intersection
DQ2026208023,2026-07-24,Queens Blvd & 48th St,"QUEENS BOULEVARD & 48TH STREET, QUEENS, NY",QUEENS BOULEVARD & 48 STREET QUEENS,intersection-or-address,accepted,1,40.742944,-73.916843,48 STREET & QUEENS BOULEVARD,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Direct intersection
DQ2026208026,2026-07-24,37th Ave & 48th St,"37TH AVENUE & 48TH STREET, QUEENS, NY",37 AVENUE & 48 STREET QUEENS,intersection-or-address,accepted,1,40.751172,-73.915194,37 AVENUE & 48 STREET,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Direct intersection
DQ2026208049,2026-07-24,27-26 Queens Plaza S,"27-26 QUEENS PLAZA SOUTH, QUEENS, NY",27-26 QUEENS PLAZA SOUTH QUEENS,intersection-or-address,accepted,1,40.750051,-73.939568,27-26 QUEENS PLAZA SOUTH,26,True,official-address-point,address,EXACT_MATCH,00,Street address
DQ2026208050,2026-07-24,42-12 10th St,"42-12 10TH STREET, QUEENS, NY",42-12 10 STREET QUEENS,intersection-or-address,accepted,1,40.753255,-73.947932,42-12 10 STREET,26,True,official-address-point,address,EXACT_MATCH,00,Street address
DQ2026208051,2026-07-24,31-32 36th Ave,"31-32 36TH AVENUE, QUEENS, NY",31-32 36 AVENUE QUEENS,intersection-or-address,accepted,1,40.756435,-73.929456,31-32 36 AVENUE,26,True,official-address-point,address,EXACT_MATCH,00,Street address
DQ2026208053,2026-07-24,52-37 2nd St,"52-37 2ND STREET, QUEENS, NY",52-37 2 STREET QUEENS,intersection-or-address,accepted,1,40.74126,-73.959161,52-37 2 STREET,26,True,official-address-point,address,EXACT_MATCH,00,Street address
DQ2026208056,2026-07-24,Center Blvd & 47th Rd,"CENTER BOULEVARD & 47TH ROAD, QUEENS, NY",CENTER BOULEVARD & 47 ROAD QUEENS,intersection-or-address,accepted,1,40.745549,-73.957213,47 ROAD & CENTER BOULEVARD,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Direct intersection
DQ2026208057,2026-07-24,"33-08 Queens Blvd, Long Island City, NY 11101","33-08 QUEENS BOULEVARD, QUEENS, NY 11101",33-08 QUEENS BOULEVARD QUEENS,intersection-or-address,accepted,1,40.744639,-73.931493,33-08 QUEENS BOULEVARD,26,True,official-address-point,address,EXACT_MATCH,00,Full street address
DQ2026208064,2026-07-24,48-28 59th Pl,"48-28 59TH PLACE, QUEENS, NY",48-28 59 PLACE QUEENS,intersection-or-address,accepted,1,40.738415,-73.90555,48-28 59 PLACE,26,True,official-address-point,address,EXACT_MATCH,00,Street address
